番号,避難場所名,有効面積 (㎡),収容人数 (人),住所1,住所２,LocName
227,膳所保育園グラウンド,"1,160","1,160",昭和町17-32,滋賀県大津市昭和町17-32,滋賀県/大津市/昭和町/１７番
228,滋賀大学教育学部附属学校グラウンド,"8,073","8,073",昭和町10-3,滋賀県大津市昭和町10-3,滋賀県/大津市/昭和町/１０番
229,湖城が丘街区公園,"2,421","2,421",湖城が丘33,滋賀県大津市湖城が丘33,滋賀県/大津市/湖城が丘/３３番
230,富士見市民センター,343,201,園山二丁目15-33,滋賀県大津市園山二丁目15-33,滋賀県/大津市/園山/二丁目/１５番
231,富士見小学校体育館,525,308,富士見台42-16,滋賀県大津市富士見台42-16,滋賀県/大津市/富士見台/４２番
232,富士見小学校グラウンド,"6,000","6,000",富士見台42-16,滋賀県大津市富士見台42-16,滋賀県/大津市/富士見台/４２番
233,富士見幼稚園,295,173,富士見台45-5,滋賀県大津市富士見台45-5,滋賀県/大津市/富士見台/４５番
234,富士見幼稚園グラウンド,864,864,富士見台45-5,滋賀県大津市富士見台45-5,滋賀県/大津市/富士見台/４５番
235,富士見台一区防災広場,812,812,富士見台3-30,滋賀県大津市富士見台3-30,滋賀県/大津市/富士見台/３番
236,茶臼山公園,"93,000","93,000",秋葉台34,滋賀県大津市秋葉台34,滋賀県/大津市/秋葉台/３４番
237,若葉台公園,"3,654","3,654",若葉台28,滋賀県大津市若葉台28,滋賀県/大津市/若葉台/２８番
238,園山公園,"53,000","53,000",園山二丁目11,滋賀県大津市園山二丁目11,滋賀県/大津市/園山/二丁目/１１番
239,晴嵐市民センター,575,338,北大路一丁目9-5,滋賀県大津市北大路一丁目9-5,滋賀県/大津市/北大路/一丁目/９番
240,晴嵐小学校体育館,557,327,光が丘町4-70,滋賀県大津市光が丘町4-70,滋賀県/大津市/光が丘町/４番
241,晴嵐小学校グラウンド,"8,500","8,500",光が丘町4-70,滋賀県大津市光が丘町4-70,滋賀県/大津市/光が丘町/４番
242,粟津中学校体育館,971,571,晴嵐一丁目20-20,滋賀県大津市晴嵐一丁目20-20,滋賀県/大津市/晴嵐/一丁目/２０番
243,粟津中学校グラウンド,"14,612","14,612",晴嵐一丁目20-20,滋賀県大津市晴嵐一丁目20-20,滋賀県/大津市/晴嵐/一丁目/２０番
244,北大路中学校体育館,665,391,北大路三丁目22-1,滋賀県大津市北大路三丁目22-1,滋賀県/大津市/北大路/三丁目/２２番
245,北大路中学校グラウンド,"9,669","9,669",北大路三丁目22-1,滋賀県大津市北大路三丁目22-1,滋賀県/大津市/北大路/三丁目/２２番
246,晴嵐幼稚園,265,155,鳥居川町15-22,滋賀県大津市鳥居川町15-22,滋賀県/大津市/鳥居川町/１５番
247,晴嵐幼稚園グラウンド,"1,256","1,256",鳥居川町15-22,滋賀県大津市鳥居川町15-22,滋賀県/大津市/鳥居川町/１５番
248,晴嵐保育園グラウンド,"1,000","1,000",光が丘町5-10,滋賀県大津市光が丘町5-10,滋賀県/大津市/光が丘町/５番
249,滋賀県立石山高校体育館,964,567,国分一丁目15-1,滋賀県大津市国分一丁目15-1,滋賀県/大津市/国分/一丁目/１５番
250,滋賀県立石山高校グラウンド,"17,646","17,646",国分一丁目15-1,滋賀県大津市国分一丁目15-1,滋賀県/大津市/国分/一丁目/１５番
251,東レスタジアム,"13,200","13,200",粟津町13,滋賀県大津市粟津町13,滋賀県/大津市/粟津町/１３番
252,石山市民センター,324,190,石山寺三丁目15-15,滋賀県大津市石山寺三丁目15-15,滋賀県/大津市/石山寺/三丁目/１５番
253,石山小学校体育館,539,317,石山寺三丁目11-20,滋賀県大津市石山寺三丁目11-20,滋賀県/大津市/石山寺/三丁目/１１番
254,石山小学校グラウンド,"8,720","8,720",石山寺三丁目11-20,滋賀県大津市石山寺三丁目11-20,滋賀県/大津市/石山寺/三丁目/１１番
255,石山中学校体育館,740,435,平津一丁目23-1,滋賀県大津市平津一丁目23-1,滋賀県/大津市/平津/一丁目/２３番
256,石山中学校グラウンド,"12,659","12,659",平津一丁目23-1,滋賀県大津市平津一丁目23-1,滋賀県/大津市/平津/一丁目/２３番
257,石山幼稚園,222,130,石山寺三丁目17-8,滋賀県大津市石山寺三丁目17-8,滋賀県/大津市/石山寺/三丁目/１７番
258,石山幼稚園グラウンド,700,700,石山寺三丁目17-8,滋賀県大津市石山寺三丁目17-8,滋賀県/大津市/石山寺/三丁目/１７番
259,大平保育園グラウンド,750,750,大平二丁目33-22,滋賀県大津市大平二丁目33-22,滋賀県/大津市/大平/二丁目/３３番
260,石山市民体育館,424,249,石山寺三丁目10-35,滋賀県大津市石山寺三丁目10-35,滋賀県/大津市/石山寺/三丁目/１０番
261,滋賀県立大津清陵高校体育館,588,345,大平一丁目14-1,滋賀県大津市大平一丁目14-1,滋賀県/大津市/大平/一丁目/１４番
262,滋賀県立大津清陵高校グラウンド,"10,411","10,411",大平一丁目14-1,滋賀県大津市大平一丁目14-1,滋賀県/大津市/大平/一丁目/１４番
263,石山公園（石山寺駐車場含む）,"6,000","6,000",石山寺三丁目2,滋賀県大津市石山寺三丁目2,滋賀県/大津市/石山寺/三丁目/２番
264,滋賀大学教育学部,"115,000","115,000",平津二丁目5-1他,滋賀県大津市平津二丁目5-1他,滋賀県/大津市/平津/二丁目/５番
265,南郷市民センター,306,180,南郷一丁目12-13,滋賀県大津市南郷一丁目12-13,滋賀県/大津市/南郷/一丁目/１２番
266,南郷小学校体育館,565,332,南郷一丁目15-9,滋賀県大津市南郷一丁目15-9,滋賀県/大津市/南郷/一丁目/１５番
267,南郷小学校グラウンド,"9,917","9,917",南郷一丁目15-9,滋賀県大津市南郷一丁目15-9,滋賀県/大津市/南郷/一丁目/１５番
268,南郷中学校体育館,681,400,赤尾町57-1,滋賀県大津市赤尾町57-1,滋賀県/大津市/赤尾町/５７番
269,南郷中学校グラウンド,"13,006","13,006",赤尾町57-1,滋賀県大津市赤尾町57-1,滋賀県/大津市/赤尾町/５７番
270,南郷幼稚園,150,88,南郷三丁目15-1,滋賀県大津市南郷三丁目15-1,滋賀県/大津市/南郷/三丁目/１５番
271,南郷幼稚園グラウンド,"1,962","1,962",南郷三丁目15-1,滋賀県大津市南郷三丁目15-1,滋賀県/大津市/南郷/三丁目/１５番
272,南郷公園,"15,000","15,000",南郷一丁目17,滋賀県大津市南郷一丁目17,滋賀県/大津市/南郷/一丁目/１７番
273,大石市民センター,299,176,大石中一丁目1-1,滋賀県大津市大石中一丁目1-1,滋賀県/大津市/大石中/一丁目/１番
274,大石小学校体育館,553,325,大石東七丁目4-1,滋賀県大津市大石東七丁目4-1,滋賀県/大津市/大石東/七丁目/４番
275,大石小学校グラウンド,"4,740","4,740",大石東七丁目4-1,滋賀県大津市大石東七丁目4-1,滋賀県/大津市/大石東/七丁目/４番
276,大石幼稚園,135,79,大石中一丁目5-9,滋賀県大津市大石中一丁目5-9,滋賀県/大津市/大石中/一丁目/５番
277,大石幼稚園グラウンド,"1,954","1,954",大石中一丁目5-9,滋賀県大津市大石中一丁目5-9,滋賀県/大津市/大石中/一丁目/５番
278,大石緑地グラウンド,"19,727","19,727",大石淀一丁目,滋賀県大津市大石淀一丁目,滋賀県/大津市/大石淀/一丁目
279,田上市民センター,354,208,里三丁目9-1,滋賀県大津市里三丁目9-1,滋賀県/大津市/里/三丁目/９番
280,田上小学校体育館,711,418,里五丁目8-1,滋賀県大津市里五丁目8-1,滋賀県/大津市/里/五丁目/８番
281,田上小学校グラウンド,"8,317","8,317",里五丁目8-1,滋賀県大津市里五丁目8-1,滋賀県/大津市/里/五丁目/８番
282,田上幼稚園,154,90,関津六丁目19-8,滋賀県大津市関津六丁目19-8,滋賀県/大津市/関津/六丁目/１９番
283,田上幼稚園グラウンド,"2,668","2,668",関津六丁目19-8,滋賀県大津市関津六丁目19-8,滋賀県/大津市/関津/六丁目/１９番
284,田上児童館,135,79,稲津一丁目14-30,滋賀県大津市稲津一丁目14-30,滋賀県/大津市/稲津/一丁目/１４番
285,南ふれあいセンター,178,104,稲津一丁目10-20,滋賀県大津市稲津一丁目10-20,滋賀県/大津市/稲津/一丁目/１０番
286,田上市民体育館,253,148,稲津一丁目10-18,滋賀県大津市稲津一丁目10-18,滋賀県/大津市/稲津/一丁目/１０番
287,湖南台地東児童公園,"1,200","1,200",稲津三丁目6,滋賀県大津市稲津三丁目6,滋賀県/大津市/稲津/三丁目/６番
288,稲津南児童公園,"4,366","4,366",稲津一丁目14,滋賀県大津市稲津一丁目14,滋賀県/大津市/稲津/一丁目/１４番
289,湖南台地西児童公園,"1,100","1,100",稲津三丁目18,滋賀県大津市稲津三丁目18,滋賀県/大津市/稲津/三丁目/１８番
290,田上公園多目的グラウンド,"7,800","7,800",枝三丁目1,滋賀県大津市枝三丁目1,滋賀県/大津市/枝/三丁目/１番
291,南郷水産センター駐車場,"16,666","16,666",黒津四丁目3,滋賀県大津市黒津四丁目3,滋賀県/大津市/黒津/四丁目/３番
292,羽栗公園,"7,500","7,500",羽栗1丁目19,滋賀県大津市羽栗1丁目19,滋賀県/大津市/羽栗/一丁目/１９番
293,上田上市民センター,225,132,牧一丁目1-24,滋賀県大津市牧一丁目1-24,滋賀県/大津市/牧/一丁目/１番
294,上田上小学校体育館,415,243,平野一丁目18-5,滋賀県大津市平野一丁目18-5,滋賀県/大津市/平野/一丁目/１８番
295,上田上小学校グラウンド,"6,000","6,000",平野一丁目18-5,滋賀県大津市平野一丁目18-5,滋賀県/大津市/平野/一丁目/１８番
